Mærke;Produktnavn;Varenr;Pris;Personlængde (cm);Komforttemp (°C);Laveste temp (°C);Anbefalet temp;Fyld;Vægt (g);Farve;Sæson;Sortiment;Lagerstatus;Note
Marmot;Lithium;44086002;5749;183;-11;-19;Ikke oplyst;Dun (800+ imp);1380;Orange (ORANGE PEPPER/GOLDEN SUN);Vinter;Butik;;
Marmot;Lithium;44086003;5999;198;-11;-19;Ikke oplyst;Dun (800+ imp);1450;Orange (ORANGE PEPPER/GOLDEN SUN);Vinter;Butik;;
Western Mountaineering;Antelope GT Infinium;43224001;7999;180;-12;-19;Ikke oplyst;Dun (850);1275;Blå (ROYAL BLUE/BLACK);Vinter;Butik;;
Western Mountaineering;Antelope GT Infinium;43224002;8299;200;-12;-19;Ikke oplyst;Dun (850);1330;Blå (ROYAL BLUE/BLACK);Vinter;Butik;;
Western Mountaineering;Puma GT Infinium;43225001;10699;180;-27;-32;Ikke oplyst;Dun (850);1700;Blå (ROYAL BLUE/BLACK);Vinter;Butik;;
Western Mountaineering;Puma GT Infinium;43225002;10999;200;-27;-32;Ikke oplyst;Dun (850);1785;Blå (ROYAL BLUE/BLACK);Vinter;Butik;;
Western Mountaineering;Bison GT Infinium;43226001;12299;180;-35;-40;Ikke oplyst;Dun (850);2095;Rød (CRIMSON/BLACK);Vinter;Butik;;
Western Mountaineering;Bison GT Infinium;43226002;12599;200;-35;-40;Ikke oplyst;Dun (850);2180;Rød (CRIMSON/BLACK);Vinter;Butik;;
Nordpol;Basic Junior;39991001;399;150;Ikke oplyst;Ikke oplyst;5;Fiber;1300;Grå (GREY/BLACK);Junior;Butik;;
Marmot;Trestles Elite Eco 30;41574001;1049;150;-1;-1;Ikke oplyst;Fiber;834;Gul (SOLAR/RED SUN);Junior;Butik;;
Nordisk;Puk Scout Sleeping Bag;41581002;899;120-150;5;-2;Ikke oplyst;Fiber;1080;Rød (SUNDRIED TOMATO);Junior;Butik;;
Nordisk;Puk Scout Sleeping Bag;41581001;899;120-150;5;-2;Ikke oplyst;Fiber;1080;Blå (MAJOLICA BLUE);Junior;Butik;;
Fjällräven;Polar -30 Sleeping Bag;31185001;8199;195;-20;-30;Ikke oplyst;Dun;2200;BURNT ORANGE/212;Vinter;Wider;;
Fjällräven;Singi 3 Seasons Sleeping Bag;31186001;3299;195;-2;-8;Ikke oplyst;Dun (600);1300;BAY BLUE/554;3-sæson;Wider;;
Fjällräven;Singi 3 Seasons Sleeping Bag;31186002;3199;180;-2;-8;Ikke oplyst;Dun (600);1200;BAY BLUE/555;3-sæson;Wider;;
Fjällräven;Abisko Two Seasons (W);40516001;1399;175;3;-2;Ikke oplyst;Fiber;1200;Blå (ATLANTIC BLUE/567);Sommer;Wider;;
